x,y,z 
497.472,7475.626,1315.0
497.472,7974.025,1322.0
497.472,8472.333,1337.0
497.472,8970.733,1389.0
497.472,9469.132,1415.0
497.472,9967.532,1452.0
497.472,10465.839,1437.0
497.472,10964.239,1364.0
497.472,11462.638,1325.0
497.472,11961.038,1261.0
497.472,12459.346,1246.0
497.472,12957.745,1228.0
497.472,13456.144,1287.0
497.472,13954.544,1339.0
497.472,14452.851,1408.0
497.472,14951.251,1324.0
497.472,15449.65,1318.0
497.472,15947.958,1132.0
497.472,16446.357,1153.0
497.472,16944.756,1064.0
497.472,17443.156,1000.0
497.472,17941.463,999.0
497.472,18439.863,929.0
497.472,18938.262,968.0
497.472,19436.661,943.0
497.472,19934.969,851.0
497.472,20433.368,864.0
497.472,20931.767,853.0
497.472,21430.166,816.0
497.472,21928.474,805.0
497.472,22426.873,794.0
497.472,22925.272,788.0
497.472,23423.58,776.0
497.472,23921.979,770.0
497.472,24420.378,758.0
497.472,24918.777,750.0
497.472,25417.084,740.0
497.472,25915.483,728.0
497.472,26413.882,722.0
497.472,26912.281,711.0
497.472,27410.589,701.0
497.472,27908.988,694.0
497.472,28407.386,686.0
497.472,28905.785,678.0
497.472,29404.093,673.0
497.472,29902.491,667.0
497.472,30400.89,662.0
497.472,30899.198,655.0
497.472,31397.596,652.0
497.472,31895.995,668.0
497.472,32394.394,694.0
497.472,32892.701,683.0
497.472,33391.1,647.0
497.472,33889.498,633.0
497.472,34387.897,626.0
497.472,34886.204,621.0
497.472,35384.603,624.0
497.472,35883.001,624.0
497.472,36381.4,630.0
497.472,36879.707,626.0
497.472,37378.105,607.0
497.472,37876.503,599.0
497.472,38374.81,590.0
497.472,38873.209,581.0
497.472,39371.607,579.0
497.472,39870.005,573.0
497.472,40368.312,568.0
497.472,40866.71,564.0
497.472,41365.109,560.0
497.472,41863.507,557.0
497.472,42361.813,552.0
497.472,42860.212,551.0
497.472,43358.61,546.0
497.472,43857.008,544.0
497.472,44355.314,540.0
497.472,44853.712,538.0
497.472,45352.11,537.0
497.472,45850.417,531.0
497.472,46348.815,526.0
497.472,46847.213,525.0
497.472,47345.61,524.0
497.472,47843.917,522.0
497.472,48342.314,522.0
497.472,48840.712,522.0
497.472,49339.11,523.0
497.472,49837.416,525.0
497.472,50335.814,519.0
497.472,50834.211,519.0
497.472,51332.609,520.0
497.472,51830.915,517.0
497.472,52329.312,520.0
497.472,52827.71,515.0
497.472,53326.016,514.0
497.472,53824.413,514.0
497.472,54322.81,514.0
497.472,54821.207,508.0
497.472,55319.513,509.0
497.472,55817.91,503.0
497.472,56316.308,500.0
497.472,56814.705,492.0
497.472,57313.01,489.0
497.472,57811.407,485.0
497.472,58309.804,481.0
497.472,58808.201,478.0
497.472,59306.507,472.0
497.472,59804.903,470.0
497.472,60303.3,469.0
497.472,60801.606,465.0
497.472,61300.002,463.0
497.472,61798.399,461.0
497.472,62296.796,459.0
497.472,62795.101,457.0
497.472,63293.497,456.0
497.472,63791.894,453.0
497.472,64290.29,454.0
497.472,64788.595,453.0
497.472,65286.991,450.0
497.472,65785.388,448.0
497.472,66283.784,449.0
497.472,66782.089,450.0
497.472,67280.485,446.0
497.472,67778.881,446.0
497.472,68277.185,446.0
497.472,68775.581,446.0
497.472,69273.977,448.0
497.472,69772.373,446.0
497.472,70270.678,444.0
497.472,70769.073,445.0
497.472,71267.469,444.0
497.472,71765.865,445.0
497.472,72264.169,446.0
497.472,72762.565,444.0
497.472,73260.96,446.0
497.472,73759.356,446.0
497.472,74257.659,444.0
497.472,74756.055,445.0
497.472,75254.45,445.0
497.472,75752.754,446.0
497.472,76251.149,444.0
497.472,76749.544,443.0
497.472,77247.939,444.0
497.472,77746.243,443.0
497.472,78244.638,441.0
497.472,78743.033,444.0
497.472,79241.428,442.0
497.472,79739.731,441.0
497.472,80238.126,441.0
497.472,80736.52,440.0
497.472,81234.915,439.0
497.472,81733.218,440.0
497.472,82231.613,442.0
497.472,82730.007,441.0
497.472,83228.31,441.0
497.472,83726.704,442.0
497.472,84225.098,439.0
497.472,84723.493,440.0
497.472,85221.795,438.0
497.472,85720.189,437.0
497.472,86218.583,437.0
497.472,86716.977,436.0
497.472,87215.28,438.0
497.472,87713.673,437.0
497.472,88212.067,437.0
497.472,88710.461,437.0
497.472,89208.763,435.0
497.472,89707.157,435.0
497.472,90205.55,435.0
497.472,90703.852,435.0
497.472,91202.245,436.0
497.472,91700.639,435.0
497.472,92199.032,434.0
497.472,92697.334,435.0
497.472,93195.727,433.0
497.472,93694.12,433.0
497.472,94192.513,431.0
497.472,94690.814,433.0
497.472,95189.207,435.0
497.472,95687.599,434.0
497.472,96185.992,433.0
497.472,96684.293,435.0
497.472,97182.686,434.0
994.833,0.0,1338.0
994.833,498.399,1343.0
994.833,996.707,1345.0
994.833,1495.107,1348.0
994.833,1993.506,1361.0
994.833,2491.906,1366.0
994.833,2990.214,1371.0
994.833,3488.613,1368.0
994.833,3987.013,1363.0
994.833,4485.412,1355.0
994.833,4983.72,1338.0
994.833,5482.12,1329.0
994.833,5980.519,1319.0
994.833,6478.919,1317.0
994.833,6977.227,1325.0
994.833,7475.626,1326.0
994.833,7974.025,1340.0
994.833,8472.333,1378.0
994.833,8970.733,1443.0
994.833,9469.132,1447.0
994.833,9967.532,1413.0
994.833,10465.839,1371.0
994.833,10964.239,1352.0
994.833,11462.638,1312.0
994.833,11961.038,1299.0
994.833,12459.346,1302.0
994.833,12957.745,1262.0
994.833,13456.144,1344.0
994.833,13954.544,1408.0
994.833,14452.851,1370.0
994.833,14951.251,1334.0
994.833,15449.65,1317.0
994.833,15947.958,1118.0
994.833,16446.357,1064.0
994.833,16944.756,1008.0
994.833,17443.156,1039.0
994.833,17941.463,1003.0
994.833,18439.863,953.0
994.833,18938.262,994.0
994.833,19436.661,950.0
994.833,19934.969,895.0
994.833,20433.368,863.0
994.833,20931.767,816.0
994.833,21430.166,805.0
994.833,21928.474,795.0
994.833,22426.873,787.0
994.833,22925.272,782.0
994.833,23423.58,774.0
994.833,23921.979,767.0
994.833,24420.378,756.0
994.833,24918.777,748.0
994.833,25417.084,739.0
994.833,25915.483,730.0
994.833,26413.882,720.0
994.833,26912.281,709.0
994.833,27410.589,702.0
994.833,27908.988,692.0
994.833,28407.386,685.0
994.833,28905.785,677.0
994.833,29404.093,673.0
994.833,29902.491,666.0
994.833,30400.89,659.0
994.833,30899.198,656.0
994.833,31397.596,653.0
994.833,31895.995,657.0
994.833,32394.394,664.0
994.833,32892.701,657.0
994.833,33391.1,643.0
994.833,33889.498,634.0
994.833,34387.897,625.0
994.833,34886.204,627.0
994.833,35384.603,632.0
994.833,35883.001,633.0
994.833,36381.4,637.0
994.833,36879.707,617.0
994.833,37378.105,622.0
994.833,37876.503,637.0
994.833,38374.81,596.0
994.833,38873.209,581.0
994.833,39371.607,576.0
994.833,39870.005,573.0
994.833,40368.312,569.0
994.833,40866.71,565.0
994.833,41365.109,561.0
994.833,41863.507,556.0
994.833,42361.813,553.0
994.833,42860.212,548.0
994.833,43358.61,545.0
994.833,43857.008,541.0
994.833,44355.314,538.0
994.833,44853.712,533.0
994.833,45352.11,530.0
994.833,45850.417,529.0
994.833,46348.815,525.0
994.833,46847.213,526.0
994.833,47345.61,527.0
994.833,47843.917,524.0
994.833,48342.314,522.0
994.833,48840.712,523.0
994.833,49339.11,523.0
994.833,49837.416,521.0
994.833,50335.814,520.0
994.833,50834.211,523.0
994.833,51332.609,519.0
994.833,51830.915,520.0
994.833,52329.312,518.0
994.833,52827.71,516.0
994.833,53326.016,514.0
994.833,53824.413,514.0
994.833,54322.81,511.0
994.833,54821.207,509.0
994.833,55319.513,507.0
994.833,55817.91,503.0
994.833,56316.308,498.0
994.833,56814.705,492.0
994.833,57313.01,490.0
994.833,57811.407,485.0
994.833,58309.804,480.0
994.833,58808.201,476.0
994.833,59306.507,471.0
994.833,59804.903,471.0
994.833,60303.3,470.0
994.833,60801.606,466.0
994.833,61300.002,464.0
994.833,61798.399,462.0
994.833,62296.796,459.0
994.833,62795.101,457.0
994.833,63293.497,454.0
994.833,63791.894,455.0
994.833,64290.29,454.0
994.833,64788.595,453.0
994.833,65286.991,450.0
994.833,65785.388,450.0
994.833,66283.784,449.0
994.833,66782.089,448.0
994.833,67280.485,448.0
994.833,67778.881,448.0
994.833,68277.185,449.0
994.833,68775.581,446.0
994.833,69273.977,448.0
994.833,69772.373,446.0
994.833,70270.678,446.0
994.833,70769.073,445.0
994.833,71267.469,446.0
994.833,71765.865,444.0
994.833,72264.169,445.0
994.833,72762.565,446.0
